"sample","Gene","ID","TF","enhancer"
"HTN","GOT1",95152,"ESRRG","HTN_E"
"HTN","GOT1",95152,"RARB","Nor_E"
"HTN","GOT1",95152,"RARB","HTN_E"
"HTN","GOT1",95152,"IKZF1","Nor_E"
"HTN","GOT1",95152,"IKZF1","HTN_E"
"HTN","GOT1",95152,"TCF4","Nor_E"
"HTN","GOT1",95152,"TCF4","HTN_E"
"HTN","GOT1",95152,"EGR3","HTN_E"
"HTN","PALM2-AKAP2",85666,"WT1","Nor_E"
"HTN","PALM2-AKAP2",85666,"WT1","HTN_E"
"HTN","CYP3A4",70606,"PBX1","Nor_E"
"HTN","CYP3A4",70606,"PBX1","HTN_E"
"HTN","CYP3A4",70606,"GATA4","Nor_E"
"HTN","CYP3A4",70606,"GATA4","HTN_E"
"HTN","CYP3A4",70606,"RORB","Nor_E"
"HTN","CYP3A4",70606,"RORB","HTN_E"
"HTN","CYP3A4",70606,"FOXP1","Nor_E"
"HTN","CYP3A4",70606,"FOXP1","HTN_E"
"HTN","CYP3A4",70606,"RORA","Nor_E"
"HTN","CYP3A4",70606,"RORA","HTN_E"
"HTN","PARD3",91127,"WT1","Nor_E"
"HTN","PARD3",91127,"WT1","HTN_E"
"Normal","VWA1",135,"RUNX1","Nor_E"
"Normal","VWA1",135,"RUNX1","HTN_E"
"Normal","VWA1",135,"SMAD9","Nor_E"
"Normal","VWA1",135,"SMAD9","HTN_E"
"Normal","VWA1",136,"HIF1A","Nor_E"
"Normal","VWA1",136,"HIF1A","HTN_E"
"Normal","VWA1",136,"WT1","Nor_E"
"Normal","VWA1",136,"WT1","HTN_E"
"Normal","VWA1",136,"EGR3","HTN_E"
"Normal","PPM1J",8221,"TCF4","Nor_E"
"Normal","PPM1J",8221,"TCF4","HTN_E"
"Normal","PPM1J",8221,"WT1","Nor_E"
"Normal","PPM1J",8221,"WT1","HTN_E"
"Normal","PPM1J",8221,"EGR3","HTN_E"
"Normal","PPM1J",8223,"RARB","Nor_E"
"Normal","PPM1J",8223,"RARB","HTN_E"
"Normal","PPM1J",8223,"TBX20","Nor_E"
"Normal","PPM1J",8223,"TBX20","HTN_E"
"Normal","VSNL1",16807,"GLI2","Nor_E"
"Normal","VSNL1",16807,"GLI2","HTN_E"
"Normal","VSNL1",16807,"GLIS3","Nor_E"
"Normal","VSNL1",16807,"GLIS3","HTN_E"
"Normal","VSNL1",16807,"RARB","Nor_E"
"Normal","VSNL1",16807,"RARB","HTN_E"
"Normal","VSNL1",16807,"ESR2","Nor_E"
"Normal","VSNL1",16807,"ESR2","HTN_E"
"Normal","VSNL1",16807,"HIF1A","Nor_E"
"Normal","VSNL1",16807,"HIF1A","HTN_E"
"Normal","VSNL1",16807,"EGR3","HTN_E"
"Normal","ABCG5",18606,"EBF1","Nor_E"
"Normal","ABCG5",18606,"EBF1","HTN_E"
"Normal","ABCG5",18606,"GLI2","Nor_E"
"Normal","ABCG5",18606,"GLI2","HTN_E"
"Normal","ABCG5",18606,"NR1H4","Nor_E"
"Normal","ABCG5",18606,"NR1H4","HTN_E"
"Normal","ABCG5",18606,"ESR2","Nor_E"
"Normal","ABCG5",18606,"ESR2","HTN_E"
"Normal","SPR",20358,"EBF1","Nor_E"
"Normal","SPR",20358,"EBF1","HTN_E"
"Normal","SPR",20358,"WT1","Nor_E"
"Normal","SPR",20358,"WT1","HTN_E"
"Normal","SPR",20357,"RUNX1","Nor_E"
"Normal","SPR",20357,"RUNX1","HTN_E"
"Normal","SPR",20357,"TCF4","Nor_E"
"Normal","SPR",20357,"TCF4","HTN_E"
"Normal","BAP1",32339,"BCL11A","Nor_E"
"Normal","BAP1",32339,"BCL11A","HTN_E"
"Normal","BAP1",32339,"ESRRG","Nor_E"
"Normal","BAP1",32339,"ESRRG","HTN_E"
"Normal","BAP1",32339,"MEIS2","Nor_E"
"Normal","BAP1",32339,"MEIS2","HTN_E"
"Normal","BAP1",32339,"BCL11B","Nor_E"
"Normal","BAP1",32339,"BCL11B","HTN_E"
"Normal","BAP1",32339,"WT1","Nor_E"
"Normal","BAP1",32339,"WT1","HTN_E"
"Normal","BAP1",32340,"ESRRG","Nor_E"
"Normal","BAP1",32340,"ESRRG","HTN_E"
"Normal","BAP1",32340,"NR1H4","Nor_E"
"Normal","BAP1",32340,"NR1H4","HTN_E"
"Normal","BAP1",32340,"NR4A1","Nor_E"
"Normal","BAP1",32340,"NR4A1","HTN_E"
"Normal","BAP1",32340,"WT1","Nor_E"
"Normal","BAP1",32340,"WT1","HTN_E"
"Normal","BAP1",32340,"PPARG","Nor_E"
"Normal","BAP1",32340,"PPARG","HTN_E"
"Normal","CHST13",35417,"WT1","Nor_E"
"Normal","CHST13",35417,"WT1","HTN_E"
"Normal","CHST13",35416,"WT1","Nor_E"
"Normal","CHST13",35416,"WT1","HTN_E"
"Normal","CHST13",35416,"RUNX3","Nor_E"
"Normal","CHST13",35416,"RUNX3","HTN_E"
"Normal","PRELID1",55468,"PPARG","Nor_E"
"Normal","PRELID1",55468,"PPARG","HTN_E"
"Normal","PRELID1",55469,"ESRRG","Nor_E"
"Normal","PRELID1",55469,"ESRRG","HTN_E"
"Normal","PRELID1",55469,"NR4A1","Nor_E"
"Normal","PRELID1",55469,"NR4A1","HTN_E"
"Normal","PRELID1",55469,"ETS1","Nor_E"
"Normal","PRELID1",55469,"ETS1","HTN_E"
"Normal","PRELID1",55469,"ERG","Nor_E"
"Normal","PRELID1",55469,"ERG","HTN_E"
"Normal","PRELID1",55469,"WT1","Nor_E"
"Normal","PRELID1",55469,"WT1","HTN_E"
"Normal","PRELID1",55469,"MLXIPL","HTN_E"
"Normal","PRELID1",55469,"FLI1","Nor_E"
"Normal","PRELID1",55469,"FLI1","HTN_E"
"Normal","MAGI2-AS3",69789,"BCL11A","Nor_E"
"Normal","MAGI2-AS3",69789,"BCL11A","HTN_E"
"Normal","MAGI2-AS3",69789,"RUNX1","Nor_E"
"Normal","MAGI2-AS3",69789,"RUNX1","HTN_E"
"Normal","MAGI2-AS3",69789,"BCL11B","Nor_E"
"Normal","MAGI2-AS3",69789,"BCL11B","HTN_E"
"Normal","MAGI2-AS3",69789,"RUNX2","Nor_E"
"Normal","MAGI2-AS3",69789,"RUNX2","HTN_E"
"Normal","MAGI2-AS3",69788,"RUNX1","Nor_E"
"Normal","MAGI2-AS3",69788,"RUNX1","HTN_E"
"Normal","MAGI2-AS3",69788,"RUNX2","Nor_E"
"Normal","MAGI2-AS3",69788,"RUNX2","HTN_E"
"Normal","MAGI2-AS3",69788,"WT1","Nor_E"
"Normal","MAGI2-AS3",69788,"WT1","HTN_E"
"Normal","MEPCE",70694,"HMGA2","Nor_E"
"Normal","MEPCE",70694,"HMGA2","HTN_E"
"Normal","MEPCE",70694,"WT1","Nor_E"
"Normal","MEPCE",70694,"WT1","HTN_E"
"Normal","PRKAG2-AS1",73586,"BCL11A","Nor_E"
"Normal","PRKAG2-AS1",73586,"BCL11A","HTN_E"
"Normal","PRKAG2-AS1",73586,"IRF4","Nor_E"
"Normal","PRKAG2-AS1",73586,"IRF4","HTN_E"
"Normal","PRKAG2-AS1",73586,"GLIS3","Nor_E"
"Normal","PRKAG2-AS1",73586,"GLIS3","HTN_E"
"Normal","PRKAG2-AS1",73586,"BCL11B","Nor_E"
"Normal","PRKAG2-AS1",73586,"BCL11B","HTN_E"
"Normal","PRKAG2-AS1",73586,"FOXP1","Nor_E"
"Normal","PRKAG2-AS1",73586,"FOXP1","HTN_E"
"Normal","PRKAG2-AS1",73586,"HES5","Nor_E"
"Normal","PRKAG2-AS1",73586,"HES5","HTN_E"
"Normal","PRKAG2-AS1",73586,"SMAD9","Nor_E"
"Normal","PRKAG2-AS1",73586,"SMAD9","HTN_E"
"Normal","PRKAG2-AS1",73587,"GLI2","Nor_E"
"Normal","PRKAG2-AS1",73587,"GLI2","HTN_E"
"Normal","PRKAG2-AS1",73587,"RUNX1","Nor_E"
"Normal","PRKAG2-AS1",73587,"RUNX1","HTN_E"
"Normal","PRKAG2-AS1",73587,"RUNX2","Nor_E"
"Normal","PRKAG2-AS1",73587,"RUNX2","HTN_E"
"Normal","PRKAG2-AS1",73587,"WT1","Nor_E"
"Normal","PRKAG2-AS1",73587,"WT1","HTN_E"
"Normal","RNF139",79736,"TCF4","Nor_E"
"Normal","RNF139",79736,"TCF4","HTN_E"
"Normal","RNF139",79737,"EBF1","Nor_E"
"Normal","RNF139",79737,"EBF1","HTN_E"
"Normal","RNF139",79737,"HMGA2","Nor_E"
"Normal","RNF139",79737,"HMGA2","HTN_E"
"Normal","RNF139",79737,"GLI2","Nor_E"
"Normal","RNF139",79737,"GLI2","HTN_E"
"Normal","RNF139",79737,"RORA","Nor_E"
"Normal","RNF139",79737,"RORA","HTN_E"
"Normal","RNF139",79737,"HAND2","Nor_E"
"Normal","RNF139",79737,"HAND2","HTN_E"
"Normal","GPT",81318,"EBF1","Nor_E"
"Normal","GPT",81318,"EBF1","HTN_E"
"Normal","GPT",81318,"LEF1","Nor_E"
"Normal","GPT",81318,"LEF1","HTN_E"
"Normal","GPT",81318,"MEF2C","Nor_E"
"Normal","GPT",81318,"MEF2C","HTN_E"
"Normal","GPT",81318,"WT1","Nor_E"
"Normal","GPT",81318,"WT1","HTN_E"
"Normal","GPT",81318,"TCF7L1","Nor_E"
"Normal","GPT",81318,"TCF7L1","HTN_E"
"Normal","GPT",81319,"GLI2","Nor_E"
"Normal","GPT",81319,"GLI2","HTN_E"
"Normal","GPT",81319,"RUNX2","Nor_E"
"Normal","GPT",81319,"RUNX2","HTN_E"
"Normal","RFX3",81532,"TCF4","Nor_E"
"Normal","RFX3",81532,"TCF4","HTN_E"
"Normal","RFX3",81532,"RUNX2","Nor_E"
"Normal","RFX3",81532,"RUNX2","HTN_E"
"Normal","RFX3",81531,"EHF","Nor_E"
"Normal","RFX3",81531,"EHF","HTN_E"
"Normal","RFX3",81531,"ELF3","Nor_E"
"Normal","RFX3",81531,"ELF3","HTN_E"
"Normal","RFX3",81531,"ETS1","Nor_E"
"Normal","RFX3",81531,"ETS1","HTN_E"
"Normal","RFX3",81531,"WT1","Nor_E"
"Normal","RFX3",81531,"WT1","HTN_E"
"Normal","KCNIP2-AS1",95364,"RUNX1","Nor_E"
"Normal","KCNIP2-AS1",95364,"RUNX1","HTN_E"
"Normal","KCNIP2-AS1",95364,"RARB","Nor_E"
"Normal","KCNIP2-AS1",95364,"RARB","HTN_E"
"Normal","KCNIP2-AS1",95364,"TCF4","Nor_E"
"Normal","KCNIP2-AS1",95364,"TCF4","HTN_E"
"Normal","KCNIP2-AS1",95363,"GLI2","Nor_E"
"Normal","KCNIP2-AS1",95363,"GLI2","HTN_E"
"Normal","KCNIP2-AS1",95363,"RUNX1","Nor_E"
"Normal","KCNIP2-AS1",95363,"RUNX1","HTN_E"
"Normal","KCNIP2-AS1",95363,"RORB","Nor_E"
"Normal","KCNIP2-AS1",95363,"RORB","HTN_E"
"Normal","KCNIP2-AS1",95363,"RORA","Nor_E"
"Normal","KCNIP2-AS1",95363,"RORA","HTN_E"
"Normal","KCNIP2-AS1",95363,"TCF7L1","Nor_E"
"Normal","KCNIP2-AS1",95363,"TCF7L1","HTN_E"
"Normal","PSD",95441,"RUNX1","Nor_E"
"Normal","PSD",95441,"RUNX1","HTN_E"
"Normal","PSD",95441,"RARB","Nor_E"
"Normal","PSD",95441,"RARB","HTN_E"
"Normal","PSD",95441,"ERG","Nor_E"
"Normal","PSD",95441,"ERG","HTN_E"
"Normal","PSD",95440,"RUNX1","Nor_E"
"Normal","PSD",95440,"RUNX1","HTN_E"
"Normal","PSD",95440,"RUNX2","Nor_E"
"Normal","PSD",95440,"RUNX2","HTN_E"
"Normal","PSD",95440,"WT1","Nor_E"
"Normal","PSD",95440,"WT1","HTN_E"
"Normal","KIF1C",133539,"BCL11A","Nor_E"
"Normal","KIF1C",133539,"BCL11A","HTN_E"
"Normal","KIF1C",133539,"BCL11B","Nor_E"
"Normal","KIF1C",133539,"BCL11B","HTN_E"
"Normal","DYNLL2",137648,"WT1","Nor_E"
"Normal","DYNLL2",137648,"WT1","HTN_E"
"Normal","DYNLL2",137650,"ESRRG","Nor_E"
"Normal","DYNLL2",137650,"ESRRG","HTN_E"
"Normal","DYNLL2",137650,"RUNX1","Nor_E"
"Normal","DYNLL2",137650,"RUNX1","HTN_E"
"Normal","DYNLL2",137650,"NR4A1","Nor_E"
"Normal","DYNLL2",137650,"NR4A1","HTN_E"
"Normal","DYNLL2",137649,"WT1","Nor_E"
"Normal","DYNLL2",137649,"WT1","HTN_E"
"Normal","LDLR",145738,"PBX1","Nor_E"
"Normal","LDLR",145738,"PBX1","HTN_E"
"Normal","LDLR",145738,"SOX5","Nor_E"
"Normal","LDLR",145738,"SOX5","HTN_E"
"Normal","LDLR",145738,"SOX6","Nor_E"
"Normal","LDLR",145738,"SOX6","HTN_E"
"Normal","ARMC6",146940,"ESR2","Nor_E"
"Normal","ARMC6",146940,"ESR2","HTN_E"
"Normal","ARMC6",146940,"WT1","Nor_E"
"Normal","ARMC6",146940,"WT1","HTN_E"
"Normal","ARMC6",146939,"LEF1","Nor_E"
"Normal","ARMC6",146939,"LEF1","HTN_E"
"Normal","ARMC6",146939,"BCL11A","Nor_E"
"Normal","ARMC6",146939,"BCL11A","HTN_E"
"Normal","ARMC6",146939,"BCL11B","Nor_E"
"Normal","ARMC6",146939,"BCL11B","HTN_E"
"Normal","ARMC6",146939,"POU4F1","Nor_E"
"Normal","ARMC6",146939,"POU4F1","HTN_E"
"Normal","ARMC6",146939,"POU1F1","Nor_E"
"Normal","ARMC6",146939,"POU1F1","HTN_E"
"Normal","ZNF337-AS1",151825,"IRF4","Nor_E"
"Normal","ZNF337-AS1",151825,"IRF4","HTN_E"
"Normal","ZNF337-AS1",151825,"IKZF1","Nor_E"
"Normal","ZNF337-AS1",151825,"IKZF1","HTN_E"
"Normal","ZNF337-AS1",151825,"ESR2","Nor_E"
"Normal","ZNF337-AS1",151825,"ESR2","HTN_E"
"Normal","ZNF337-AS1",151825,"WT1","Nor_E"
"Normal","ZNF337-AS1",151825,"WT1","HTN_E"
"Normal","ZNF337-AS1",151825,"EGR3","HTN_E"
"Normal","ZNF337-AS1",151824,"BCL11A","Nor_E"
"Normal","ZNF337-AS1",151824,"BCL11A","HTN_E"
"Normal","ZNF337-AS1",151824,"BCL11B","Nor_E"
"Normal","ZNF337-AS1",151824,"BCL11B","HTN_E"
"Normal","ZNF337-AS1",151824,"ESR2","Nor_E"
"Normal","ZNF337-AS1",151824,"ESR2","HTN_E"
"Normal","ZNF337-AS1",151824,"MLXIPL","HTN_E"
"Normal","ZNF337-AS1",151824,"HES5","Nor_E"
"Normal","ZNF337-AS1",151824,"HES5","HTN_E"
"Normal","ZNF337-AS1",151824,"PPARG","Nor_E"
"Normal","ZNF337-AS1",151824,"PPARG","HTN_E"
"Normal","BRIP1",137935,"RUNX1","Nor_E"
"Normal","BRIP1",137935,"RUNX1","HTN_E"
"Normal","BRIP1",137935,"RUNX2","Nor_E"
"Normal","BRIP1",137935,"RUNX2","HTN_E"
"Normal","BRIP1",137935,"WT1","Nor_E"
"Normal","BRIP1",137935,"WT1","HTN_E"
"Normal","BRIP1",137935,"TBX20","Nor_E"
"Normal","BRIP1",137935,"TBX20","HTN_E"
"Normal","ARL15",49066,"EHF","Nor_E"
"Normal","ARL15",49066,"EHF","HTN_E"
"Normal","ARL15",49066,"ELF3","Nor_E"
"Normal","ARL15",49066,"ELF3","HTN_E"
"Normal","ARL15",49066,"WT1","Nor_E"
"Normal","ARL15",49066,"WT1","HTN_E"
"Normal","PHLDB2",34527,"BCL11A","Nor_E"
"Normal","PHLDB2",34527,"BCL11A","HTN_E"
"Normal","PHLDB2",34527,"RUNX1","Nor_E"
"Normal","PHLDB2",34527,"RUNX1","HTN_E"
"Normal","PHLDB2",34527,"MEIS2","Nor_E"
"Normal","PHLDB2",34527,"MEIS2","HTN_E"
"Normal","PHLDB2",34527,"BCL11B","Nor_E"
"Normal","PHLDB2",34527,"BCL11B","HTN_E"
"Normal","PHLDB2",34527,"MEIS1","Nor_E"
"Normal","PHLDB2",34527,"MEIS1","HTN_E"
